AnimalName,Breed,Age,Weight_kg,MedicalHistory,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,priority_score
Dog,Rottweiler,8.7,43.2,Not vaccinated,Eye redness,Frequent eye Infections,Crusty eye lashes and matting of eyelashes,foul smelling stools, increased passing gas,4
Dog,Labrador Retriever,3.5,42.7,Chronic illness,Vomiting,Weight loss,Drooling,Sneezing,Coughing,6
Dog,Mixed Breed,2.6,11.4,No previous conditions,Weakness,Sneezing,Hematuria,Lethargy,Sickness,8
Dog,Mixed Breed,13.2,19.3,Dental issues,Fetopelvic dispropotion,Uteria inertia,Malpresentation,Death,Pains,10
Dog,German Shepherd,10.8,34.9,Vaccinated,Lethargy,Anorexia,Weakness,Vomiting,Weakness,8
Dog,Poodle,6.0,8.0,Previous kidney disease,Horny growth,Red on affected area,Red skin,Lesions on ear,Wart-like growth,3
Dog,Golden Retriever,13.8,28.7,Previous kidney disease,fever,loss of appetite,rapid pulse and heart rates,lameness in affected leg,depression,9
Dog,Yorkshire Terrier,14.8,6.2,Dental issues,Fever,Difficulty in breathing,Dribbling of saliva,Inability of Swalllon Feeding,Moist and painfull,10
Dog,Mixed Breed,1.6,24.0,Skin conditions history,Decreased eyelid,Very cold skin,Lethargy,Lip,Fever,9
Dog,Rottweiler,1.6,34.0,Recent surgery,Mummification,Pain,Abortion,Weak kids,Stillbirth,10
Dog,Beagle,15.0,21.1,Not vaccinated,Pain,Pain,Weakness,Weight loss,Anorexia,8
Dog,Boxer,4.6,23.6,Previous kidney disease,Difficulty breathing,Coughing,Unable to exercise,Fever,Eye and Skin change,10
Dog,Bulldog,12.5,26.9,Previous heart condition,Coughing,Vomiting,Fever,Sneezing,Coughing,8
Dog,Bulldog,5.3,23.1,Chronic illness,Vomiting,Fever,Anorexia,Poor Appetite,Weakness,7
Dog,Mixed Breed,12.9,13.3,Skin conditions history,Swollen lymph nodes,Difficulty walking,Back Pain,Lethargy,Vaginal Discharge,9
Dog,Mixed Breed,5.5,11.5,Recent surgery,Decreased growth of bone,Pain,Sneezing,Swelling,Diarrhea,6
Dog,Bulldog,9.2,23.2,Parasite history,egg production decreases,stunted growth,Blindness,Distinctive bumps,Facial swelling,0
Dog,Rottweiler,7.6,24.2,Recent surgery,Bluish white opacity,Blindness,Anversion to light,Tear production,Pains,7
Dog,Labrador Retriever,8.5,42.2,Parasite history,Vomiting,Sneezing,Loss of consciousness,Lethargy,Vomiting,10
Dog,Rottweiler,4.4,36.3,Previous kidney disease,Weakness,Moist,Weight loss,Lethargy,muscular spasms,9
Dog,Rottweiler,5.8,41.0,Recent surgery,Poor coat condition,Fever,Fatique,Weight loss,Infection of the skin,7
Dog,Bulldog,3.9,19.3,No previous conditions,Coughing,Coughing,Weight loss,Salivating,Bloody diarrhea,9
Dog,Bulldog,12.2,21.1,Chronic illness,Swollen Eyelids,Weight loss,Weight loss,Weakness,Vomiting,7
Dog,Labrador Retriever,1.6,41.7,Recent surgery,Fever,Chronic eye inflamation,Poor Appetite,Lethargy,Neurologic abnormalities,10
Dog,Bulldog,6.8,31.6,Allergies,haemorrhage,Straw colored,Abdominal pain,Death,Carcass decomposes,10
Dog,Bulldog,13.0,25.0,Allergies,Watering Diarrhea,Depression,Emaciation,Ruffled Coat,Lethargy,8
Dog,Golden Retriever,5.5,42.5,No previous conditions,Dyspnea,Coughing,Fever,Anorexia,Lethargy,10
Dog,Labrador Retriever,8.7,27.8,Recent surgery,Sneezing,Vomiting,Weakness,Sneezing,Weight loss,7
Dog,Yorkshire Terrier,12.2,11.2,Skin conditions history,Blood from mouth,Diarrhea,Coughing,Lethargy,Weight loss,8
Dog,Yorkshire Terrier,11.5,5.7,Dental issues,Fever,Difficulty in breathing,Dribbling of saliva,Inability of Swalllon Feeding,Moist and painfull,10
Dog,Yorkshire Terrier,5.3,9.2,Chronic illness,Decreased milk,Holding limbs off the ground,Weight loss,Lameness,Wool production,0
Dog,Yorkshire Terrier,4.9,6.2,Dental issues,Weight loss,Fever,Anorexia,Lethargy,Anorexia,7
Dog,Yorkshire Terrier,11.0,5.6,Dental issues,Fever,Difficulty in breathing,Dribbling of saliva,Inability of Swalllon Feeding,Moist and painfull,10
Dog,Rottweiler,7.1,45.0,Vaccinated,nasal discharge,Vomiting,Sneezing,Fever,Sneezing,6
Dog,Rottweiler,7.2,36.5,Previous heart condition,Vomiting,Weight loss,Sneezing,Fever,Weight loss,7
Dog,Poodle,3.9,8.9,Vaccinated,Fetopelvic dispropotion,Uteria inertia,Malpresentation,Death,Pains,10
Dog,German Shepherd,0.8,35.3,Not vaccinated,Coughing,Dyspnea,Depression,Anorexia,Neurologic sign,10
Dog,Golden Retriever,7.2,37.0,Dental issues,Diarrhea,Sneezing,diffuse,Coughing,Obstructed Lungs,10
Dog,Rottweiler,11.8,45.0,Previous heart condition,Lack of walking,Lack of flying,Roughened,Dehydration,Pains,8
Dog,Poodle,8.2,7.2,No previous conditions,Sneezing,Decreased eyelid,Weakness,Anorexia,Pain,7
Dog,Golden Retriever,2.4,35.9,Parasite history,Diarrhea,Lethargy,Weight loss,Coughing,Sneezing,6
Dog,Boxer,10.4,20.3,Allergies,Weakness,Pain,Sneezing,Sneezing,Pain,8
Dog,Mixed Breed,1.8,25.9,Parasite history,Unable To Eat,Lossened Teeth,Bloody Drool,Foul Breath,Facial Swelling,7
Dog,Bulldog,10.2,21.1,Previous heart condition,egg production decreases,stunted growth,Blindness,Distinctive bumps,Facial swelling,0
Dog,Labrador Retriever,9.9,32.9,Not vaccinated,Stripped remiges,Less Feather growth,Ruffled feathers,Defienciency in vitamin,Diarrhea,0
Dog,German Shepherd,0.8,42.0,Skin conditions history,Excessive blood loss,dizziness and fainting,Blurry vision,watery eyes,slow growth,10
Dog,Mixed Breed,9.6,32.6,Parasite history,Weight loss,Weight loss,Weakness,Fast breathing,Animal gets uneasy,9
Dog,Beagle,0.5,15.0,Previous kidney disease,rectal bleeding,Flaky,Weight loss,Coughing,Coughing,9
Dog,Yorkshire Terrier,4.5,9.3,Dental issues,Heavy Breathing,Yellow in beak,Tail_Bobbing,Weakness,Sleeping Excessively,0
Dog,Golden Retriever,6.2,38.4,Vaccinated,Fever,Coughing,Weight loss,Vomiting,Pain,7
Dog,Poodle,13.4,8.2,Parasite history,abortion at the end of gestation,Fatigue,weak calves,Join pains,Swelling of internal organs,10
Dog,Boxer,0.9,22.9,No previous conditions,Fever,Depression,Relunctance to move,Salivation,Nasal Discharge,8
Dog,German Shepherd,8.3,33.1,No previous conditions,Swollen lymph nodes,Lethargy,Watery Stool,Difficulty walking,Vaginal Discharge,9
Dog,Bulldog,3.0,16.7,Previous heart condition,Loss of eat,Fever,Fever,Weakness,Fever,8
Dog,Rottweiler,2.2,28.2,Allergies,listlessness,Lethargy,Anorexia,Heavy Breathing,Diarrhea,9
Dog,Labrador Retriever,10.6,34.7,Parasite history,Weakness,Weight loss,Vomiting,Pain,Scabs On feet,7
Dog,Boxer,0.9,18.8,No previous conditions,Fever,Depression,Relunctance to move,Salivation,Nasal Discharge,7
Dog,Beagle,5.3,29.4,Skin conditions history,Ulcerated muscle,Excession Salivation,Fever,Abnormal conformation,Ulcerated ear,8
Dog,Beagle,15.0,15.0,No previous conditions,Coughing,Blood in faces,Pain,Ring shaped Lesion,Anorexia,8
Dog,Labrador Retriever,8.3,45.0,Recent surgery,Fever,Depression,loss of appetite,Loss of appetite,Pains,9
Dog,Golden Retriever,12.1,34.3,Previous kidney disease,Coughing,Diarrhea,Convulsion,Pain,Vomiting,10
Dog,Labrador Retriever,3.6,38.7,Previous kidney disease,Diarrhea,Bleeding in eye and skin,Vomiting,Blood in urine,Lethargy,10
Dog,German Shepherd,10.5,32.8,Chronic illness,Painfull to touch,Diarrhea,Fever,Loss od appetite,Weakness,8
Dog,Labrador Retriever,10.0,38.9,Skin conditions history,Pains,loss of appetite,Fever,Depression,Loss of appetite,7
Dog,Bulldog,3.1,19.1,No previous conditions,Fluffed Feather,Loss of appetite,Coughing,Vomiting,Snoring,0
Dog,Poodle,9.9,3.5,Parasite history,Upset stomach,Diarrhea,Coughing,Weight loss,Anaemia,8
Dog,Mixed Breed,3.0,26.8,Chronic illness,Holding limbs off the ground,Lameness,Decreased milk,Wool production,Weight loss,0
Dog,Beagle,1.7,27.7,Chronic illness,stop eating,stop drinking,change their normal behaviour,Weight loss,Pains,9
Dog,Bulldog,9.7,24.7,Parasite history,Fever,Diarrhea,Abdominal pain,Stiffness,Severe weekness and depression,9
Dog,Yorkshire Terrier,5.9,6.8,Parasite history,Dry skin,Coughing,Anorexia,Diffulty chewing,Pain,7
Dog,German Shepherd,11.7,33.2,Not vaccinated,Abdominal pain,Diarrhea,Malpresentation,Shock,Anorexia,10
Dog,Rottweiler,9.7,25.0,Vaccinated,Pain,Coughing,Weight loss,Vomiting,Weakness,7
Dog,Bulldog,4.3,17.6,Skin conditions history,Fever,Sour Throat,Mortality,Muscle aches,Abnormalities,0
Dog,Bulldog,12.9,23.0,Chronic illness,Difficulty breathing,Unable to exercise,Coughing,Eye and Skin change,Fever,10
Dog,Bulldog,7.5,21.1,Chronic illness,Stiffness,anaemia,Sneezing,Fever,Diarrhea,8
Dog,Mixed Breed,0.8,8.4,Allergies,Fever,Difficulty in breathing,Lethargy,Death,Pains,0
Dog,Mixed Breed,9.6,37.8,Parasite history,Lethargy,Upset stomach,Weakness,Wool is clumped,Diarrhea,0
Dog,Bulldog,10.1,16.2,Dental issues,Weight loss,Diarrhea,Lethargy,Weakness,Lethargy,6
Dog,Rottweiler,7.2,45.0,Parasite history,loss of tail tone,Lethargy,Weight loss,Lethargy,Diarrhea,7
Dog,Yorkshire Terrier,7.9,9.5,Allergies,Short term lethargy,Loss of  appetite,Poor Appetite,Rapid Heart Rate,Week pulse,10
Dog,German Shepherd,6.9,31.7,Allergies,Vomiting,heavy breathing,Fever,Anorexia,Weakness,9
Dog,Labrador Retriever,8.9,37.1,Parasite history,Pruritis,Diarrhea,Inability to digest,Dull,Fever,6
Dog,Bulldog,13.7,27.5,Skin conditions history,Weight loss,Green Dropping,Fever,Anorexia,Excess sleeping,7
Dog,Labrador Retriever,2.1,38.5,Previous kidney disease,Pains,Achomotrica,Dehydration,Poor immune function,Death,0
Dog,Yorkshire Terrier,8.5,5.8,Previous heart condition,Retarded Growth,Colic,Lethargy,Diarrhea,Poor coat condition,7
Dog,Bulldog,3.8,17.3,Allergies,Fever,Sour Throat,Mortality,Muscle aches,Abnormalities,0
Dog,Beagle,8.6,26.2,Allergies,Itchiness,Watery eye,Thick Crusting,Pain,Hair loss,5
Dog,Beagle,7.6,18.2,Previous kidney disease,Diarrhea,Coughing,Weakness,Pain,Pain,8
Dog,Golden Retriever,9.6,36.6,Vaccinated,difficulty swallowing,cough ,difficulty swallowing,gasping for air,extending its neck,10
Dog,Bulldog,9.4,25.5,Allergies,Gasping,coughing ,mild weakness,droopy wings,twisted neck,0
Dog,Beagle,11.5,15.7,Recent surgery,Fever,Diarrhea,Enteritis,Weight loss,Stomach  cramps,9
Dog,Bulldog,3.4,27.9,Allergies,Weakness,Pain,Oral lesion,Eye redness,Diarrhea,6
Dog,Poodle,15.0,3.8,Previous heart condition,Weakness,Animal gets uneasy,Fever,Forthy eye,Weakness,8
Dog,Rottweiler,11.4,36.0,Allergies,Lethargy,Anorexia,Diarrhea,Sneezing,Coughing,6
Dog,Beagle,12.7,23.9,Previous heart condition,Pain,Anorexia,Trauma,Coughing,Coughing,10
Dog,Labrador Retriever,8.9,32.0,Previous kidney disease,Fever,Formation of vesicles,Fever,Weight loss,Weight loss,8
Dog,Beagle,2.2,21.6,Vaccinated,Fetopelvic dispropotion,Uteria inertia,Malpresentation,Death,Pains,0
Dog,Mixed Breed,3.2,26.3,Chronic illness,Weight loss,Wool production,Holding limbs off the ground,Decreased milk,Lameness,0
Dog,Rottweiler,8.9,27.2,Parasite history,Vomitting,Weakness,Loss of appetite,Fever,Weight loss,7
Dog,Beagle,11.3,30.0,Dental issues,Diarrhea,Coughing,Diarrhea,Pain,Coughing,6
Dog,Yorkshire Terrier,14.5,5.5,Recent surgery,Forthy eye,Torticollis,Weakness,Swelling,Emaciation,9
Dog,Rottweiler,5.6,45.0,Skin conditions history,Crusty eye lashes and matting of eyelashes,weight loss,Coughing,Weight loss,Weight loss,7
Dog,German Shepherd,4.5,30.6,No previous conditions,Weakness,Coughing,Diarrhea,Drooping wings,Coughing,0
Dog,Boxer,13.1,18.1,Skin conditions history,Nosebleed ,Trauma,mild weakness,Nose picking,Dry air,0
Dog,Bulldog,5.1,23.3,Skin conditions history,Vomiting,Kick,Weakness,Raised growth or bump,Anorexia,0
Dog,German Shepherd,6.4,29.4,Dental issues,Forthy eye,Torticollis,Weakness,Swelling,Emaciation,8
Dog,German Shepherd,6.4,29.0,Not vaccinated,Crusting of the skin,Ulcerated skin,Hair loss,Darkened skin,Dandruff,3
Dog,Poodle,7.7,5.5,Parasite history,Fever,Fever,Vomiting,Lethargy,Weakness,7
Dog,Yorkshire Terrier,5.9,5.9,Chronic illness,Lethargy,Bloody Diarhhea,Pain,Pain,Sneezing,9
Dog,Bulldog,4.0,22.9,Skin conditions history,Anorexia,Sneezing,Distended stomach,Coughing,Weight loss,10
Dog,German Shepherd,10.4,37.0,Allergies,Severe kerititis,Anorexia,Weight loss,Sneezing,Weight loss,7
Dog,Yorkshire Terrier,4.9,8.7,Chronic illness,Pain,Weight loss,Ruminal stasis,Coughing,Urine retention,0
Dog,Bulldog,3.1,17.7,Recent surgery,Fever,Chronic eye inflamation,Poor Appetite,Lethargy,Neurologic abnormalities,10
Dog,Yorkshire Terrier,10.6,9.2,Not vaccinated,Fever,Diarrhea,Swelling,Weight loss,Pain,8
Dog,Mixed Breed,2.5,17.1,Recent surgery,Anorexia,Sneezing,Fever,Heat,loss of appetite,7
Dog,Rottweiler,5.9,25.3,Skin conditions history,Death,Uteria inertia,Malpresentation,Pains,Fetopelvic dispropotion,0
Dog,Rottweiler,6.6,40.8,Dental issues,Sneezing,experiencing changes in weight,Weakness,Weight loss,Anorexia,8
Dog,Rottweiler,1.2,32.7,Skin conditions history,Weight loss,Vomiting,Coughing,Pain,Pain,8
Dog,Rottweiler,1.5,33.2,Previous heart condition,loss of appetite,diarrhea,ruffled feathers,Weight loss,Inability to absorb nutrients,0
Dog,Mixed Breed,0.8,14.9,Recent surgery,Fever,Reduce growth,Kid moratality,Weakness,Dullness,0
Dog,Labrador Retriever,10.8,33.6,Dental issues,Sneezing,Vomiting,Diarrhea,Unilateral Nasal discharge,Weight loss,8
Dog,Bulldog,9.8,23.3,Parasite history,Fever,Diarrhea,Abdominal pain,Stiffness,Severe weekness and depression,9
Dog,Beagle,5.7,27.1,Recent surgery,Strong cough,Runny nose,Darkened skin,Lethargy,Loss of appetite,7
Dog,Mixed Breed,10.6,10.4,Chronic illness,Rhinitis,Pneumonia ,abscessess,Torticollis,Septicemia,10
Dog,Bulldog,2.8,14.4,Allergies,Watery Diarrhea dispropotion,Sick,Corneal Ulceration,Loss of appetite,Death,0
Dog,Beagle,8.6,24.2,Vaccinated,Fever,Scratches,Diarrhea,Weight Loss,Depression,7
Dog,Mixed Breed,7.8,35.8,Previous heart condition,Vomiting,Anorexia,Lethargy,Fever,Coughing,9
Dog,Boxer,9.0,24.0,Previous kidney disease,Loss of eye,Wattles,Weakness,Vomiting,Vomiting,0
Dog,Labrador Retriever,13.6,44.4,Not vaccinated,Gasping,coughing ,mild weakness,droopy wings,twisted neck,0
Dog,Rottweiler,5.9,36.1,Recent surgery,Sneezing,Pain, rapid heartbeats,Fever,Uncharacteristic hiding,8
Dog,Rottweiler,11.7,25.9,Parasite history,Coughing,Vomiting,Weakness,Discharge,Fever,7
Dog,Labrador Retriever,8.7,34.1,Parasite history,Sneezing,Vomiting,Fever,Diarrhea,Anorexia,7
Dog,Labrador Retriever,13.5,30.8,No previous conditions,Coughing,Sneezing,Vomiting,Weakness,Lethargy,8
Dog,Labrador Retriever,10.1,37.1,No previous conditions,Vomitting,Fever,Anorexia,Fever,Diarrhea,7
